,star_names,distance,mass,radius,luminosity,,star_name,distance,mass,radius
55,Ran,010.48,0.82,0.74,0.34,38,2mass j03231002-4631237,192,23,1.66
56,V382 Carinae,"08,900",20,485,"212,000"
57,Eta Carinae,"07,500",100,60â€“881,"5,000,000",40,2mass j03264225-2102057â [de],80,18,1.3
58,Delta Cephei,0887,4.5,44.5,"2,000"
59,Mu Cephei,"06,000",19.2,972,"135,000",41,2mass j03284265+2302051â [de],98,54,0.98
60,Titawin,044.25,1.27,1.48,3.57
61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",42,2mass j03341218-4953322,27.0,73,1.04
62,P Cygni,"05,545",30,76,"610,000"
63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",46,2mass j03510004-0052452,48,102,1.27
64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
65,61 Cygni,011.41,0.7,0.665,0.153,47,2mass j03552337+1133437,29.8,20,1.32
66,R Doradus,0178,0.7 - 1.0,298,"4,350"
67,Polaris Australis,0281,1.59,3.74,38,49,2mass j04151954âˆ’0935066,18.6,30,0.95
68,R Coronae Borealis,"04,566",0.85,85,"10,000"
69,54 Piscium,036.1,0.76,0.94,0.52,51,2mass j04285096-2253227â [de],85,80,1.09
70,Mira,0300,1.2,370,"9,000"
71,RW Cephei,"014,000",13.9,"1,158","417,000",52,2mass j04351612-1606574,34,100,1.26
72,Lacaille 8760,012.87,0.6,0.51,0.072
73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",53,2mass j04362788-4114465,142,39,1.97
74,HD 140283,0190,?,1.4,3.83
75,II Pegasi,0130,0.8,3.4,1.06,54,2mass j04390101-2353083â [de],29.5,48,0.97
76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
77,Pistol Star,"025,000",100,320,"1,700,000",55,2mass j04414489+2301513,470,19,
78,S Doradus,"0169,000",24,380,"910,000"
79,UY Scuti,"05,100",7â€“10,755,"86,300 - 87,100",56,2mass j04433764+0002040,82,22,1.78
80,Barnard's Star,05.98,0.14,0.20,0.0035
81,Luhman 16,06.52,0.04,?,?,57,2mass j04455387-3048204â [de],42,64,1.00
82,Proxima Centauri,04.25,0.12,0.15,0.0017
83,KIC 8462852,"01,470",1.43,1.58,4.68,58,2mass j04510093-3402150â [de],69,1.04,72
84,R136a1,"0163,000",290,32,"8,710,000"
85,Melnick 42,"0163,000",189,21.1,"3,600,000",59,2mass j05002100+0330501â [de],44,64,1.00
86,WR 102,"018,134",19,0.39,"282,000"
87,VFTS 352,"0164,000",57.48,14.47,"330,000",60,2mass j05012406-0010452â [de],64,21,1.38
88,YBP 1194,"02,772",1.01,0.99,0.98
89,Gliese 1214,047.5,0.16,0.21,0.0033,61,2mass j05160945-0445499â [de],73,47,0.97
90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
91,VB 10,018.72,0.075,0.10,0.0004,62,2mass j0523âˆ’1403,40,68,1.01
92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
93,TRAPPIST-1,039.6,0.089,0.12,0.0005,65,2mass j05591914-1404488â [de],34,,
94,2MASS J0523-1403,040.3,0.07,0.086,0.00013
95,WISE 0855âˆ’0714,07.27,0.003,?,?,67,2mass j06085283-2753583,102,38,1.51
96,Icarus,"014,400,000,000",33,?,"850,000"
